Group,Name,Batter ID,Matches,Innings,Not Outs,Runs,Average,High Score,50s,100s,Strike Rate,Balls,Dots,Fours,Sixes,Contribution,Catches,Catches as Keeper,Stumpings,Run Outs
Instonians 3rd XI,Reuben Edmondson,14160d99-62c0-488b-a6f1-0070ad938536,1,1,0,15,15.00,15,0,0,100.00,15,9,3,0,8.38,0,0,0,0
Instonians 3rd XI,Frank Hollway,076bd01b-580d-4211-ac97-514772a1b93f,1,1,0,15,15.00,15,0,0,78.95,19,13,3,0,8.38,0,1,0,0
Instonians 3rd XI,Alan Millar,e015ad07-08b0-4319-bff9-a4f7c296b7ea,1,1,0,31,31.00,31,0,0,119.23,26,11,2,1,17.32,0,0,0,0
Instonians 3rd XI,David Millar,22a50c97-a313-428b-aaf2-2bdcd734c64d,1,1,0,0,0.00,0,0,0,0.00,5,5,0,0,0.00,0,0,0,0
Instonians 3rd XI,Robbie Moore,5a8b0b6e-f863-4ca8-a447-acb4088e4f94,1,0,0,0,,,0,0,,0,0,0,0,0.00,0,0,0,0
Instonians 3rd XI,Sarav Palaniappan,68f5bd93-c7a6-4a17-903a-c044a996a959,1,0,0,0,,,0,0,,0,0,0,0,0.00,0,0,0,0
Instonians 3rd XI,Freddie Robinson,9ea4932b-398c-4e9e-a843-26b03ee23502,1,0,0,0,,,0,0,,0,0,0,0,0.00,0,0,0,0
Instonians 3rd XI,Gareth Robinson,f3e92ef7-f622-4a45-9b82-2c3ee127e506,1,1,1,26,,26*,0,0,260.00,10,1,1,2,14.53,0,0,0,0
Instonians 3rd XI,Pranav Saran,35d4db75-97dc-4be1-8c41-9c71b134812d,1,1,0,28,28.00,28,0,0,68.29,41,25,2,0,15.64,2,0,0,0
Instonians 3rd XI,James Welshman,92d9a7fa-50b0-4e39-a101-585d15e7b9a8,1,1,0,5,5.00,5,0,0,55.56,9,5,0,0,2.79,0,0,0,0
Instonians 3rd XI,Cameron Wilson,0ee1ae7d-8e47-47e8-a6b2-40d69f387c35,1,1,1,37,,37*,0,0,142.31,26,7,2,2,20.67,0,0,0,0
Instonians 4th XI,Graham Higgin,95d70641-c642-4b1d-a267-1fa2963e5d46,1,1,0,4,4.00,4,0,0,80.00,5,3,0,0,2.22,0,0,0,0
Instonians 4th XI,Neil Jacques,6ebb9141-1ab1-4759-a957-668739925298,1,1,0,0,0.00,0,0,0,0.00,1,1,0,0,0.00,0,0,0,0
Instonians 4th XI,Stephen  Kelso,487cbadc-dc3d-4970-a515-ce878e1cd7ba,1,1,0,11,11.00,11,0,0,61.11,18,10,1,0,6.11,0,0,0,0
Instonians 4th XI,Ben Lambert,6a7bcf33-7221-45b8-b6b7-a091581e4b38,1,1,1,31,,31*,0,0,100.00,31,17,4,0,17.22,2,0,0,0
Instonians 4th XI,Ross Martin,65b8c7a6-8df2-4afa-b853-1903307a409c,1,1,0,50,50.00,50,1,0,125.00,40,17,6,1,27.78,0,0,0,0
Instonians 4th XI,James Poland,0a715c17-f30c-4387-905e-2d1558516d26,1,1,0,4,4.00,4,0,0,80.00,5,2,0,0,2.22,0,3,0,0
Instonians 4th XI,Pallav Saran,2fc67215-3dd6-4187-b6c4-09a22a77ea6c,1,1,0,0,0.00,0,0,0,0.00,3,3,0,0,0.00,0,0,0,0
Instonians 4th XI,Ethan Walker,2d5c4723-e185-498a-a9ea-2a376c044c7c,1,1,1,1,,1*,0,0,50.00,2,1,0,0,0.56,0,0,0,0
Instonians 4th XI,Dylan Weir,dc12ca03-1d67-4787-b201-a88395ba5a28,1,0,0,0,,,0,0,,0,0,0,0,0.00,0,0,0,0
Instonians 4th XI,Cameron Williams,2f39625c-b9ab-45e7-ab25-4a219ce6482c,1,1,0,42,42.00,42,0,0,200.00,21,8,1,5,23.33,0,0,0,0
Instonians 4th XI,Rowan Woods,7933a685-9d47-4903-932d-0d6f57b19d84,1,0,0,0,,,0,0,,0,0,0,0,0.00,0,0,0,0
